id|BZID|State|Headline|Owner|Contacter|BZURL|
SPCSS00501871|915630|Opened|[SC7731E][CARON][cm05]进入相机进行拍照，拍照后查看图片-详情，按返回键返回预览界面过程中，反应慢。|qiao.lei|许娇|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=915630|
SPCSS00503428|918244|Opened|[SC7731E][CARON][CM05]GPS轨迹发生较大偏移|Heidi.Zhao|张杰|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=918244|
SPCSS00502348|916417|Opened|[SC7731E][CARON][cm05]客户反馈：SD Card Insertion Notification unavailable except once when we first time after Upgarding DUT insert it|yangyang0621|许娇|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=916417|
SPCSS00499375|911619|Opened|[SC7731E][CARON][cm05]【量产加急】客户反馈：Play store is not Auto Updating Pre installed apps over Wi-Fi at 04:59 PM|sam.chiu|龚玲珑|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=911619|
SPCSS00501394|914829|NeedInfo|[SC7731E][CARON][cm05]客户反馈：Unable to go into messanger from facebook.|yaping.guo|许娇|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=914829|
SPCSS00503998|919222|Opened|[SC7731E][CARON][cm05]【量产加急】客户反馈：内存只剩500M，联系人4000条，短信存10000条，进入联系人时响应慢|wangwp0829|龚玲珑|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=919222|
SPCSS00503907|919046|Opened|[SC7731E][CARON][CM05]TP手势功能10%几率无响应，附件中提供了LOG，请分析。|hurryking.han|张杰|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=919046|
SPCSS00504669|920304|Opened|[SC7731E][CARON][cm05]【量产加急】客户反馈：进入相机反应慢，点击进入相机到呈现预览画面的时间需要3.8s以上，需优化|tangqing1214|许娇|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=920304|
SPCSS00503884|918976|Opened|[SC7731E][CARON][CM05]【申请加急处理】CTS 测试项：CtsCameraTestCases--android.hardware.camera2.cts.MultiViewTest#testDualCameraPreview fail|Xianyun.He|罗承军|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=918976|
SPCSS00500148|912875|Opened|[SC7731E][CARON][CM05]【申请加急处理】GSI 测试项：CtsJvmtiTrackingHostTestCases--android.jvmti.cts.JvmtiHostTestAllocationTracking#testJvmti fail|leon.wang|罗承军|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=912875|
SPCSS00496957|907649|Opened|[SC7731E][CARON][CM05]【量产加急】客户反馈：CM05后摄像头主观优化|qiao.lei|罗荣花|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=907649|
SPCSS00502328|916395|NeedInfo|[SC7731E][CARON][cm05]客户反馈：UC Browser In Default SMS apps and some default app not selected by default|ellen.yang|许娇|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=916395|
SPCSS00503211|917849|Opened|[SC7731E][CARON][cm05]卡1移动，卡2联通，语言为英文时，在短信界面点击右下角SIM卡图标时，卡1，卡2显示顺序相反，并都显示为中文，并且切换为卡2发送彩信时，提示错误|Glen.Wu|龚玲珑|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=917849|
SPCSS00504488|920041|Submitted|[SC7731E][CARON][CM05]后摄像头模组兼容。|nanjun.zhong|谭训成|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=920041|
SPCSS00503418|918222|NeedInfo|[SC7731E][CARON][CM05]GPS不能搜星定位|Andy.Hao|张杰|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=918222|
SPCSS00504645|920290|NeedInfo|[SC7731E][CARON][cm05]客户反馈：点击相机--手动模式--默认--调节对比度-3到3之间点击，点击时不能准确响应|chencl|龚玲珑|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=920290|
SPCSS00504673|920317|Submitted|[SC7731E][CARON][cm05]【量产加急】客户反馈：进入相机切换至前置后退出，开启手电筒后再进入相机，手电筒不会自动熄灭，此时开启闪光灯拍照，拍照后闪光灯常亮|tangqing1214|龚玲珑|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=920317|
SPCSS00503881|918974|Opened|[SC7731E][CARON][CM05]【申请加急处理】CTS 测试项： CtsCameraTestCases--android.hardware.camera2.cts.CameraDeviceTest#testCameraDeviceCapture fail|Xianyun.He|罗承军|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=918974|
SPCSS00502846|917273|Opened|[SC7731E][CARON][CM05]CM05 项目 客户反映场测 GPS飘移问题，附件中提供了测试数据，请帮忙排查原因。|Rongsheng.Li|张杰|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=917273|
SPCSS00500404|913276|NeedInfo|[SC7731E][CARON][cm05]客户反馈：放电至自动挂机，连接充电器无法立刻开机，万用表实测3.57V，拔电池插充电器能立即开机|jihang.yan|张杰|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=913276|
SPCSS00501297|914684|Opened|[SC7731E][CARON][cm05]客户反馈：打开Gmial时间太慢为4425MS，lava对比机SP502:1967MS，请优化|wangkui0409|龚玲珑|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=914684|
SPCSS00503926|919069|Opened|[SC7731E][CARON][CM05]GPS OTA测试FAIL， 请帮忙安排分析。|Rongsheng.Li|张杰|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=919069|
SPCSS00488420|895654|NeedInfo|[SC7731E][CARON][CM05]墨西哥SIMLOCK需求|doris.wang|吕海庆|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=895654|
SPCSS00502268|916279|NeedInfo|[SC7731E][CARON][cm05]客户反馈：玩游戏时出现重启|steven.ouyang|龚玲珑|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=916279|
SPCSS00504152|919464|Opened|[SC7731E][CARON][CM05]CTest 系统服务器，安装后进入CTestserver  界面 显示 与中心服务器连接断开， 请帮忙 分析 谢谢！|guoxiao.wang|罗承军|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=919464|
SPCSS00496951|907645|Opened|[SC7731E][CARON][CM05]【量产加急】客户反馈了前摄主观确认结果，申请前摄像头主观优化!|shanren.ou|罗荣花|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=907645|
SPCSS00494189|903874|Opened|[SC7731E][CARON][cm05]相机-打开HDR模式-逆光拍照-保持拿手机的手不动，成像慢，导致有重影|xiaowei.liu|龚玲珑|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=903874|
SPCSS00501308|914726|Opened|[SC7731E][CARON][cm05]客户反馈：打开信时间太慢为3900ms，lava对比机SP502:1133MS，请优化|lubl0409|龚玲珑|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=914726|
SPCSS00503929|919061|Opened|[SC7731E][CARON][CM05]【申请加急处理】CTS 测试项：CtsMediaTestCases--android.media.cts.NativeImageReaderTest#testTakePictures  fail|nanjun.zhong|罗承军|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=919061|
SPCSS00504656|920295|Opened|[SC7731E][CARON][cm05]【量产加急】客户反馈：录制视频开始后暂停键为置灰状态，当视频录制到3s后才可以暂停|caiyl1008|许娇|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=920295|
